preferred_label_esco,potential_entity_variants_dbpedia,class_label_dbpedia,entity_valid_variants_dbpedia,llm_formatted_entity,llm_expanded_class_label
psychopathology,"['Psychopathology', 'psychopathology']",['book'],['Psychopathology'],psychopathology,book
stomatology,"['stomatology', 'Stomatology']",['person function'],['Stomatology'],stomatology,person function
islamic studies,"['islamic_Studies', 'Islamic_studies', 'islamic_studies', 'Islamic_Studies']","['music genre', 'person function']","['Islamic_studies', 'Islamic_Studies']",islamic studies,music genre
islamic studies,"['islamic_Studies', 'Islamic_studies', 'islamic_studies', 'Islamic_Studies']","['music genre', 'person function']","['Islamic_studies', 'Islamic_Studies']",islamic studies,person function
biomechanics,"['biomechanics', 'Biomechanics']",['book'],['Biomechanics'],biomechanics,book
sociology,"['Sociology', 'sociology']","['book', 'person function']",['Sociology'],sociology,book
sociology,"['Sociology', 'sociology']","['book', 'person function']",['Sociology'],sociology,person function
Yiddish,"['Yiddish', 'yiddish']",['language'],['Yiddish'],yiddish,language
horary astrology,"['horary_astrology', 'Horary_astrology', 'horary_Astrology', 'Horary_Astrology']",['organisation'],['Horary_astrology'],horary astrology,organisation
distributed computing,"['distributed_Computing', 'Distributed_Computing', 'Distributed_computing', 'distributed_computing']","['music genre', 'music genre']","['Distributed_computing', 'Distributed_Computing']",distributed computing,music genre
distributed computing,"['distributed_Computing', 'Distributed_Computing', 'Distributed_computing', 'distributed_computing']","['music genre', 'music genre']","['Distributed_computing', 'Distributed_Computing']",distributed computing,music genre
endoscopy,"['Endoscopy', 'endoscopy']",['disease'],['Endoscopy'],endoscopy,disease
mining engineering,"['Mining_engineering', 'mining_Engineering', 'Mining_Engineering', 'mining_engineering']","['sport', 'person function', 'music genre']","['Mining_engineering', 'Mining_Engineering']",mining engineering,sport
mining engineering,"['Mining_engineering', 'mining_Engineering', 'Mining_Engineering', 'mining_engineering']","['sport', 'person function', 'music genre']","['Mining_engineering', 'Mining_Engineering']",mining engineering,person function
mining engineering,"['Mining_engineering', 'mining_Engineering', 'Mining_Engineering', 'mining_engineering']","['sport', 'person function', 'music genre']","['Mining_engineering', 'Mining_Engineering']",mining engineering,music genre
acute care,"['Acute_care', 'Acute_Care', 'acute_Care', 'acute_care']",['organisation'],['Acute_care'],acute care,organisation
MATLAB,"['Matlab', 'matlab']",['programming language'],['Matlab'],matlab,programming language
mycology,"['Mycology', 'mycology']","['organisation', 'person function']",['Mycology'],mycology,organisation
mycology,"['Mycology', 'mycology']","['organisation', 'person function']",['Mycology'],mycology,person function
psychophysiology,"['psychophysiology', 'Psychophysiology']",['organisation'],['Psychophysiology'],psychophysiology,organisation
Eclipse,"['Eclipse', 'eclipse']","['album', 'sports event']",['Eclipse'],eclipse,album
Eclipse,"['Eclipse', 'eclipse']","['album', 'sports event']",['Eclipse'],eclipse,sports event
Frostbite,"['frostbite', 'Frostbite']",['disease'],['Frostbite'],frostbite,disease
autism,"['Autism', 'autism']",['disease'],['Autism'],autism,disease
CoffeeScript,"['Coffeescript', 'coffeescript']",['programming language'],['Coffeescript'],coffeescript,programming language
phonetics,"['Phonetics', 'phonetics']","['organisation', 'university']",['Phonetics'],phonetics,organisation
phonetics,"['Phonetics', 'phonetics']","['organisation', 'university']",['Phonetics'],phonetics,university
PHP,"['Php', 'php']",['programming language'],['Php'],php,programming language
Sanskrit,"['Sanskrit', 'sanskrit']",['language'],['Sanskrit'],sanskrit,language
kinesiology,"['Kinesiology', 'kinesiology']",['book'],['Kinesiology'],kinesiology,book
geophysics,"['Geophysics', 'geophysics']","['administrative region', 'person function']",['Geophysics'],geophysics,administrative region
geophysics,"['Geophysics', 'geophysics']","['administrative region', 'person function']",['Geophysics'],geophysics,person function
Xcode,"['Xcode', 'xcode']","['software', 'work']",['Xcode'],xcode,software
Xcode,"['Xcode', 'xcode']","['software', 'work']",['Xcode'],xcode,work
e-learning,"['E-learning', 'e-learning']",['music genre'],['E-learning'],e-learning,music genre
Java,"['java', 'Java']","['place', 'island', 'populated place', 'country']",['Java'],java,place
Java,"['java', 'Java']","['place', 'island', 'populated place', 'country']",['Java'],java,island
Java,"['java', 'Java']","['place', 'island', 'populated place', 'country']",['Java'],java,populated place
Java,"['java', 'Java']","['place', 'island', 'populated place', 'country']",['Java'],java,country
literary criticism,"['Literary_Criticism', 'literary_Criticism', 'literary_criticism', 'Literary_criticism']","['book', 'music genre', 'music genre']","['Literary_Criticism', 'Literary_criticism']",literary criticism,book
literary criticism,"['Literary_Criticism', 'literary_Criticism', 'literary_criticism', 'Literary_criticism']","['book', 'music genre', 'music genre']","['Literary_Criticism', 'Literary_criticism']",literary criticism,music genre
literary criticism,"['Literary_Criticism', 'literary_Criticism', 'literary_criticism', 'Literary_criticism']","['book', 'music genre', 'music genre']","['Literary_Criticism', 'Literary_criticism']",literary criticism,music genre
aeronomy,"['aeronomy', 'Aeronomy']",['work'],['Aeronomy'],aeronomy,work
cybernetics,"['Cybernetics', 'cybernetics']","['person function', 'programming language']",['Cybernetics'],cybernetics,person function
cybernetics,"['Cybernetics', 'cybernetics']","['person function', 'programming language']",['Cybernetics'],cybernetics,programming language
child psychiatry,"['child_Psychiatry', 'Child_psychiatry', 'child_psychiatry', 'Child_Psychiatry']",['music genre'],['Child_psychiatry'],child psychiatry,music genre
animal biology,"['animal_Biology', 'Animal_biology', 'Animal_Biology', 'animal_biology']","['periodical literature', 'work', 'academic journal', 'written work']",['Animal_Biology'],animal biology,periodical literature
animal biology,"['animal_Biology', 'Animal_biology', 'Animal_Biology', 'animal_biology']","['periodical literature', 'work', 'academic journal', 'written work']",['Animal_Biology'],animal biology,work
animal biology,"['animal_Biology', 'Animal_biology', 'Animal_Biology', 'animal_biology']","['periodical literature', 'work', 'academic journal', 'written work']",['Animal_Biology'],animal biology,academic journal
animal biology,"['animal_Biology', 'Animal_biology', 'Animal_Biology', 'animal_biology']","['periodical literature', 'work', 'academic journal', 'written work']",['Animal_Biology'],animal biology,written work
literary theory,"['Literary_theory', 'Literary_Theory', 'literary_Theory', 'literary_theory']","['music genre', 'book', 'person function']","['Literary_Theory', 'Literary_theory']",literary theory,music genre
literary theory,"['Literary_theory', 'Literary_Theory', 'literary_Theory', 'literary_theory']","['music genre', 'book', 'person function']","['Literary_Theory', 'Literary_theory']",literary theory,book
literary theory,"['Literary_theory', 'Literary_Theory', 'literary_Theory', 'literary_theory']","['music genre', 'book', 'person function']","['Literary_Theory', 'Literary_theory']",literary theory,person function
securities,"['securities', 'Securities']",['music genre'],['Securities'],securities,music genre
Internet of Things,"['Internet_Of_Things', 'internet_of_Things', 'internet_Of_things', 'internet_of_things', 'Internet_Of_things', 'internet_Of_Things', 'Internet_of_Things', 'Internet_of_things']","['music genre', 'broadcaster', 'person function']","['Internet_of_Things', 'Internet_of_things']",internet of things,music genre
Internet of Things,"['Internet_Of_Things', 'internet_of_Things', 'internet_Of_things', 'internet_of_things', 'Internet_Of_things', 'internet_Of_Things', 'Internet_of_Things', 'Internet_of_things']","['music genre', 'broadcaster', 'person function']","['Internet_of_Things', 'Internet_of_things']",internet of things,broadcaster
Internet of Things,"['Internet_Of_Things', 'internet_of_Things', 'internet_Of_things', 'internet_of_things', 'Internet_Of_things', 'internet_Of_Things', 'Internet_of_Things', 'Internet_of_things']","['music genre', 'broadcaster', 'person function']","['Internet_of_Things', 'Internet_of_things']",internet of things,person function
history of theology,"['history_Of_Theology', 'History_of_theology', 'history_of_Theology', 'history_Of_theology', 'history_of_theology', 'History_of_Theology', 'History_Of_theology', 'History_Of_Theology']",['book'],['History_of_theology'],history of theology,book
obstetrics and gynaecology,"['Obstetrics_and_gynaecology', 'Obstetrics_and_Gynaecology', 'obstetrics_and_Gynaecology', 'Obstetrics_And_Gynaecology', 'obstetrics_and_gynaecology', 'Obstetrics_And_gynaecology', 'obstetrics_And_gynaecology', 'obstetrics_And_Gynaecology']","['Food', 'person function']",['Obstetrics_and_gynaecology'],obstetrics and gynaecology,Food
obstetrics and gynaecology,"['Obstetrics_and_gynaecology', 'Obstetrics_and_Gynaecology', 'obstetrics_and_Gynaecology', 'Obstetrics_And_Gynaecology', 'obstetrics_and_gynaecology', 'Obstetrics_And_gynaecology', 'obstetrics_And_gynaecology', 'obstetrics_And_Gynaecology']","['Food', 'person function']",['Obstetrics_and_gynaecology'],obstetrics and gynaecology,person function
foreign affairs,"['Foreign_Affairs', 'foreign_affairs', 'foreign_Affairs', 'Foreign_affairs']","['periodical literature', 'work', 'academic journal', 'magazine', 'written work', 'music genre']","['Foreign_Affairs', 'Foreign_affairs']",foreign affairs,periodical literature
foreign affairs,"['Foreign_Affairs', 'foreign_affairs', 'foreign_Affairs', 'Foreign_affairs']","['periodical literature', 'work', 'academic journal', 'magazine', 'written work', 'music genre']","['Foreign_Affairs', 'Foreign_affairs']",foreign affairs,work
foreign affairs,"['Foreign_Affairs', 'foreign_affairs', 'foreign_Affairs', 'Foreign_affairs']","['periodical literature', 'work', 'academic journal', 'magazine', 'written work', 'music genre']","['Foreign_Affairs', 'Foreign_affairs']",foreign affairs,academic journal
foreign affairs,"['Foreign_Affairs', 'foreign_affairs', 'foreign_Affairs', 'Foreign_affairs']","['periodical literature', 'work', 'academic journal', 'magazine', 'written work', 'music genre']","['Foreign_Affairs', 'Foreign_affairs']",foreign affairs,magazine
foreign affairs,"['Foreign_Affairs', 'foreign_affairs', 'foreign_Affairs', 'Foreign_affairs']","['periodical literature', 'work', 'academic journal', 'magazine', 'written work', 'music genre']","['Foreign_Affairs', 'Foreign_affairs']",foreign affairs,written work
foreign affairs,"['Foreign_Affairs', 'foreign_affairs', 'foreign_Affairs', 'Foreign_affairs']","['periodical literature', 'work', 'academic journal', 'magazine', 'written work', 'music genre']","['Foreign_Affairs', 'Foreign_affairs']",foreign affairs,music genre
health education,"['health_Education', 'Health_education', 'Health_Education', 'health_education']",['person function'],['Health_education'],health education,person function
precision mechanics,"['Precision_mechanics', 'precision_mechanics', 'precision_Mechanics', 'Precision_Mechanics']",['sport'],['Precision_mechanics'],precision mechanics,sport
pharmacotherapy,"['pharmacotherapy', 'Pharmacotherapy']",['drug'],['Pharmacotherapy'],pharmacotherapy,drug
media studies,"['Media_studies', 'Media_Studies', 'media_Studies', 'media_studies']","['sport', 'music genre', 'university']","['Media_studies', 'Media_Studies']",media studies,sport
media studies,"['Media_studies', 'Media_Studies', 'media_Studies', 'media_studies']","['sport', 'music genre', 'university']","['Media_studies', 'Media_Studies']",media studies,music genre
media studies,"['Media_studies', 'Media_Studies', 'media_Studies', 'media_studies']","['sport', 'music genre', 'university']","['Media_studies', 'Media_Studies']",media studies,university
id Tech,"['Id_Tech', 'id_Tech', 'id_tech', 'Id_tech']",['television show'],['Id_Tech'],id tech,television show
hepatology,"['hepatology', 'Hepatology']",['organisation'],['Hepatology'],hepatology,organisation
book reviews,"['Book_reviews', 'book_reviews', 'book_Reviews', 'Book_Reviews']",['music genre'],['Book_reviews'],book reviews,music genre
ornithology,"['ornithology', 'Ornithology']","['organisation', 'music genre']",['Ornithology'],ornithology,organisation
ornithology,"['ornithology', 'Ornithology']","['organisation', 'music genre']",['Ornithology'],ornithology,music genre
immunology,"['immunology', 'Immunology']","['medical specialty', 'organisation', 'music genre']",['Immunology'],immunology,medical specialty
immunology,"['immunology', 'Immunology']","['medical specialty', 'organisation', 'music genre']",['Immunology'],immunology,organisation
immunology,"['immunology', 'Immunology']","['medical specialty', 'organisation', 'music genre']",['Immunology'],immunology,music genre
environmental engineering,"['environmental_engineering', 'Environmental_Engineering', 'environmental_Engineering', 'Environmental_engineering']","['organisation', 'person function', 'university']","['Environmental_Engineering', 'Environmental_engineering']",environmental engineering,organisation
environmental engineering,"['environmental_engineering', 'Environmental_Engineering', 'environmental_Engineering', 'Environmental_engineering']","['organisation', 'person function', 'university']","['Environmental_Engineering', 'Environmental_engineering']",environmental engineering,person function
environmental engineering,"['environmental_engineering', 'Environmental_Engineering', 'environmental_Engineering', 'Environmental_engineering']","['organisation', 'person function', 'university']","['Environmental_Engineering', 'Environmental_engineering']",environmental engineering,university
philosophy of mathematics,"['philosophy_of_Mathematics', 'philosophy_Of_mathematics', 'philosophy_of_mathematics', 'Philosophy_of_Mathematics', 'Philosophy_Of_mathematics', 'philosophy_Of_Mathematics', 'Philosophy_of_mathematics', 'Philosophy_Of_Mathematics']",['organisation'],['Philosophy_of_mathematics'],philosophy of mathematics,organisation
natural gas,"['Natural_Gas', 'Natural_gas', 'natural_gas', 'natural_Gas']","['person function', 'person function']","['Natural_gas', 'Natural_Gas']",natural gas,person function
natural gas,"['Natural_Gas', 'Natural_gas', 'natural_gas', 'natural_Gas']","['person function', 'person function']","['Natural_gas', 'Natural_Gas']",natural gas,person function
Unreal Engine,"['unreal_Engine', 'Unreal_engine', 'Unreal_Engine', 'unreal_engine']","['software', 'work', 'software']","['Unreal_engine', 'Unreal_Engine']",unreal engine,software
Unreal Engine,"['unreal_Engine', 'Unreal_engine', 'Unreal_Engine', 'unreal_engine']","['software', 'work', 'software']","['Unreal_engine', 'Unreal_Engine']",unreal engine,work
Unreal Engine,"['unreal_Engine', 'Unreal_engine', 'Unreal_Engine', 'unreal_engine']","['software', 'work', 'software']","['Unreal_engine', 'Unreal_Engine']",unreal engine,software
track geometry,"['Track_geometry', 'track_geometry', 'track_Geometry', 'Track_Geometry']",['software'],['Track_geometry'],track geometry,software
Hindi,"['Hindi', 'hindi']","['language', 'building']",['Hindi'],hindi,language
Hindi,"['Hindi', 'hindi']","['language', 'building']",['Hindi'],hindi,building
journalism,"['Journalism', 'journalism']",['music genre'],['Journalism'],journalism,music genre
corporate law,"['Corporate_Law', 'corporate_law', 'Corporate_law', 'corporate_Law']",['book'],['Corporate_law'],corporate law,book
comparative literature,"['comparative_Literature', 'Comparative_literature', 'Comparative_Literature', 'comparative_literature']","['university', 'university']","['Comparative_literature', 'Comparative_Literature']",comparative literature,university
comparative literature,"['comparative_Literature', 'Comparative_literature', 'Comparative_Literature', 'comparative_literature']","['university', 'university']","['Comparative_literature', 'Comparative_Literature']",comparative literature,university
infection control,"['Infection_Control', 'infection_control', 'Infection_control', 'infection_Control']",['sport'],['Infection_control'],infection control,sport
chemistry,"['Chemistry', 'chemistry']","['organisation', 'university']",['Chemistry'],chemistry,organisation
chemistry,"['Chemistry', 'chemistry']","['organisation', 'university']",['Chemistry'],chemistry,university
religious studies,"['religious_Studies', 'Religious_Studies', 'Religious_studies', 'religious_studies']","['university', 'music genre']","['Religious_Studies', 'Religious_studies']",religious studies,university
religious studies,"['religious_Studies', 'Religious_Studies', 'Religious_studies', 'religious_studies']","['university', 'music genre']","['Religious_Studies', 'Religious_studies']",religious studies,music genre
automated optical inspection,"['Automated_optical_Inspection', 'Automated_optical_inspection', 'automated_Optical_Inspection', 'Automated_Optical_Inspection', 'Automated_Optical_inspection', 'automated_optical_Inspection', 'automated_Optical_inspection', 'automated_optical_inspection']",['company'],['Automated_optical_inspection'],automated optical inspection,company
modern portfolio theory,"['Modern_Portfolio_Theory', 'modern_Portfolio_theory', 'modern_portfolio_theory', 'Modern_Portfolio_theory', 'Modern_portfolio_Theory', 'modern_portfolio_Theory', 'modern_Portfolio_Theory', 'Modern_portfolio_theory']",['software'],['Modern_portfolio_theory'],modern portfolio theory,software
celestial navigation,"['celestial_navigation', 'Celestial_Navigation', 'Celestial_navigation', 'celestial_Navigation']",['person'],['Celestial_navigation'],celestial navigation,person
business processes,"['Business_processes', 'business_processes', 'Business_Processes', 'business_Processes']",['music genre'],['Business_processes'],business processes,music genre
radiochemistry,"['radiochemistry', 'Radiochemistry']",['person'],['Radiochemistry'],radiochemistry,person
international law,"['international_law', 'International_law', 'international_Law', 'International_Law']","['university', 'person function']","['International_law', 'International_Law']",international law,university
international law,"['international_law', 'International_law', 'international_Law', 'International_Law']","['university', 'person function']","['International_law', 'International_Law']",international law,person function
programmable logic controller,"['programmable_logic_controller', 'Programmable_Logic_controller', 'Programmable_logic_controller', 'Programmable_Logic_Controller', 'programmable_logic_Controller', 'Programmable_logic_Controller', 'programmable_Logic_controller', 'programmable_Logic_Controller']",['information appliance'],['Programmable_logic_controller'],programmable logic controller,information appliance
neuroanatomy,"['Neuroanatomy', 'neuroanatomy']",['book'],['Neuroanatomy'],neuroanatomy,book
Moodle,"['Moodle', 'moodle']","['software', 'work']",['Moodle'],moodle,software
Moodle,"['Moodle', 'moodle']","['software', 'work']",['Moodle'],moodle,work
epigraphy,"['epigraphy', 'Epigraphy']","['book', 'person function']",['Epigraphy'],epigraphy,book
epigraphy,"['epigraphy', 'Epigraphy']","['book', 'person function']",['Epigraphy'],epigraphy,person function
Octopus Deploy,"['Octopus_Deploy', 'Octopus_deploy', 'octopus_deploy', 'octopus_Deploy']",['military conflict'],['Octopus_Deploy'],octopus deploy,military conflict
Ruby,"['ruby', 'Ruby']","['chemical substance', 'mineral', 'musical work', 'programming language']",['Ruby'],ruby,chemical substance
Ruby,"['ruby', 'Ruby']","['chemical substance', 'mineral', 'musical work', 'programming language']",['Ruby'],ruby,mineral
Ruby,"['ruby', 'Ruby']","['chemical substance', 'mineral', 'musical work', 'programming language']",['Ruby'],ruby,musical work
Ruby,"['ruby', 'Ruby']","['chemical substance', 'mineral', 'musical work', 'programming language']",['Ruby'],ruby,programming language
solid-state chemistry,"['Solid-state_Chemistry', 'solid-state_chemistry', 'solid-state_Chemistry', 'Solid-state_chemistry']",['book'],['Solid-state_chemistry'],solid-state chemistry,book
Groovy,"['groovy', 'Groovy']",['road junction'],['Groovy'],groovy,road junction
solar energy,"['solar_energy', 'Solar_energy', 'solar_Energy', 'Solar_Energy']","['lighthouse', 'person function', 'person function']","['Solar_energy', 'Solar_Energy']",solar energy,lighthouse
solar energy,"['solar_energy', 'Solar_energy', 'solar_Energy', 'Solar_Energy']","['lighthouse', 'person function', 'person function']","['Solar_energy', 'Solar_Energy']",solar energy,person function
solar energy,"['solar_energy', 'Solar_energy', 'solar_Energy', 'Solar_Energy']","['lighthouse', 'person function', 'person function']","['Solar_energy', 'Solar_Energy']",solar energy,person function
social justice,"['Social_Justice', 'social_justice', 'social_Justice', 'Social_justice']",['music genre'],['Social_justice'],social justice,music genre
pharmaceutical industry,"['pharmaceutical_Industry', 'Pharmaceutical_industry', 'Pharmaceutical_Industry', 'pharmaceutical_industry']",['person function'],['Pharmaceutical_industry'],pharmaceutical industry,person function
anthropology,"['Anthropology', 'anthropology']","['book', 'person function']",['Anthropology'],anthropology,book
anthropology,"['Anthropology', 'anthropology']","['book', 'person function']",['Anthropology'],anthropology,person function
psychosociology,"['Psychosociology', 'psychosociology']",['book'],['Psychosociology'],psychosociology,book
geometry,"['geometry', 'Geometry']","['organisation', 'person function']",['Geometry'],geometry,organisation
geometry,"['geometry', 'Geometry']","['organisation', 'person function']",['Geometry'],geometry,person function
control engineering,"['Control_engineering', 'control_Engineering', 'control_engineering', 'Control_Engineering']",['sport'],['Control_engineering'],control engineering,sport
criminology,"['criminology', 'Criminology']","['book', 'university']",['Criminology'],criminology,book
criminology,"['criminology', 'Criminology']","['book', 'university']",['Criminology'],criminology,university
sexology,"['Sexology', 'sexology']","['book', 'person function']",['Sexology'],sexology,book
sexology,"['Sexology', 'sexology']","['book', 'person function']",['Sexology'],sexology,person function
mammalogy,"['mammalogy', 'Mammalogy']",['book'],['Mammalogy'],mammalogy,book
respiratory medicine,"['Respiratory_Medicine', 'Respiratory_medicine', 'respiratory_Medicine', 'respiratory_medicine']","['periodical literature', 'work', 'academic journal', 'written work']",['Respiratory_Medicine'],respiratory medicine,periodical literature
respiratory medicine,"['Respiratory_Medicine', 'Respiratory_medicine', 'respiratory_Medicine', 'respiratory_medicine']","['periodical literature', 'work', 'academic journal', 'written work']",['Respiratory_Medicine'],respiratory medicine,work
respiratory medicine,"['Respiratory_Medicine', 'Respiratory_medicine', 'respiratory_Medicine', 'respiratory_medicine']","['periodical literature', 'work', 'academic journal', 'written work']",['Respiratory_Medicine'],respiratory medicine,academic journal
respiratory medicine,"['Respiratory_Medicine', 'Respiratory_medicine', 'respiratory_Medicine', 'respiratory_medicine']","['periodical literature', 'work', 'academic journal', 'written work']",['Respiratory_Medicine'],respiratory medicine,written work
occultism,"['Occultism', 'occultism']",['music genre'],['Occultism'],occultism,music genre
electrochemistry,"['electrochemistry', 'Electrochemistry']","['organisation', 'person function']",['Electrochemistry'],electrochemistry,organisation
electrochemistry,"['electrochemistry', 'Electrochemistry']","['organisation', 'person function']",['Electrochemistry'],electrochemistry,person function
Apache Tomcat,"['apache_tomcat', 'apache_Tomcat', 'Apache_tomcat', 'Apache_Tomcat']","['software', 'work']",['Apache_Tomcat'],apache tomcat,software
Apache Tomcat,"['apache_tomcat', 'apache_Tomcat', 'Apache_tomcat', 'Apache_Tomcat']","['software', 'work']",['Apache_Tomcat'],apache tomcat,work
ethics,"['ethics', 'Ethics']","['organisation', 'music genre']",['Ethics'],ethics,organisation
ethics,"['ethics', 'Ethics']","['organisation', 'music genre']",['Ethics'],ethics,music genre
entomology,"['entomology', 'Entomology']","['book', 'person function']",['Entomology'],entomology,book
entomology,"['entomology', 'Entomology']","['book', 'person function']",['Entomology'],entomology,person function
food policy,"['food_Policy', 'Food_Policy', 'Food_policy', 'food_policy']",['place'],['Food_policy'],food policy,place
microelectromechanical systems,"['microelectromechanical_systems', 'microelectromechanical_Systems', 'Microelectromechanical_Systems', 'Microelectromechanical_systems']",['company'],['Microelectromechanical_systems'],microelectromechanical systems,company
radiology,"['Radiology', 'radiology']","['Food', 'person function']",['Radiology'],radiology,Food
radiology,"['Radiology', 'radiology']","['Food', 'person function']",['Radiology'],radiology,person function
power electronics,"['power_electronics', 'Power_Electronics', 'Power_electronics', 'power_Electronics']","['software', 'music genre']",['Power_electronics'],power electronics,software
power electronics,"['power_electronics', 'Power_Electronics', 'Power_electronics', 'power_Electronics']","['software', 'music genre']",['Power_electronics'],power electronics,music genre
Latin,"['Latin', 'latin']",['language'],['Latin'],latin,language
judaism,"['judaism', 'Judaism']",['country'],['Judaism'],judaism,country
cued speech,"['Cued_Speech', 'cued_Speech', 'Cued_speech', 'cued_speech']",['language'],['Cued_speech'],cued speech,language
attention to detail,"['attention_To_Detail', 'attention_To_detail', 'Attention_to_Detail', 'Attention_To_Detail', 'Attention_to_detail', 'Attention_To_detail', 'attention_to_Detail', 'attention_to_detail']","['company', 'company', 'agent', 'organisation']","['Attention_To_Detail', 'Attention_to_Detail']",attention to detail,company
